Title,Author,Type,Genre ,Genre_2,Year,Month,Page_Count,Word_Count
Fear and Loathing on the Campaign Trail '72,Hunter S Thompson,Nonfiction,Gonzo Journalism,Classic,2021,January,481,
"Dostoevsky, Kierkegaard, Nietzsche & Kafka",William Hubben,Nonfiction,Philosophy,,2021,January,175,
Ender's Game,Orson Scott Card,Fiction,Science Fiction,,2021,February,324,
Playing in the Dark,Toni Morrison,Nonfiction,Culture,Race,2021,February,110,
The Dark Tower,Stephen King,Fiction,Fantasy,,2021,March,1050,
Hate Inc.,Matt Taibbi,Nonfiction,Culture,Politics,2021,May,294,
Race Maters,Dr Cornell West,Nonfiction,Culture,Race,2021,May,105,
One Hundred years of Solitude,Gabriel Garcia Marquez,Fiction,Surrealism,,2021,July,417,
Hitchiker's Guide to the Galaxy,Douglas Adams,Fiction,Science Fiction,Comedy,2021,August,193,
Slaughterhouse Five,Kurt Vonnegut,Fiction,Comedy,Science Fiction,2021,August,192,
Cat's Cradle,Kurt Vonnegut,Fiction,Comedy,Satire,2021,September,179,
The Great Shark Hunt,Hunter S Thompson,Nonfiction,Gonzo Journalism,Journalism,2021,October,624,
LIFE,Lu Yao,Fiction,Historical Fiction,,2021,November,334,
The War of Art,Steven Pressfield,Nonfiction,Self-help,,2021,Noveber,168,
The Business Secrets of Drug Dealing,"Matt Taibbi, Anonymous",Fiction,Biography,,2021,November,213,
Of Mice and Men,John Steinbeck,Fiction,Classic,Literary Fiction,2021,December,112,
Tao Te Ching,Lao Tsu,Nonfiction,Classic,Philosophy,2021,December,84,
Things Fall Apart,Chinua Achebe,Fiction,Classic,Historical Fiction,2020,March,209,
Zen & The Art of Motorcycle Repair,Robert Pirsig,Fiction,Philosophy,,2020,March,540,
The Drunkards Walk,Leonard Mlodinow,Nonfiction,Science,,2020,April,252,
The Pentagon's Brain,Annie Jacobson,Nonfiction,History,Science,2020,April,560,
Spy the Lie,Various,Nonfiction,Psychology,,2020,April,288,
Wizard and Glass,Stephen King,Fiction,Fantasy,,2020,April,845,
Horse Walks Into a Bar,David Grossman,Fiction,Literary Fiction,Comedy,2020,May,208,
Siddhartha,Herman Hesse,Fiction,Classic,Philosophy,2020,May,152,
12 Rules For Life,Jordan Peterson,Nonfiction,Psycology,Self-help,2020,May,409,
Camara Dos Segredos,JK Rowling,Fiction,Portuguese,Fantasy,2020,May,275,
Wolves of Calla,Stephen King,Fiction,Fantasy,,2020,November,931,
Song of Susannah,Stephen King,Fiction,Fantasy,,2020,December,544,
Churchill in the Trenches,Peter Apps,Nonfiction,Biography,,2019,,94,
Pedra Filosifal,JK Rowling,Fiction,Portuguese,,2019,,255,
Fear and Loathing in Las Vegas,Hunter S Thompson,,Gonzo Journalism,,2019,,204,
American Gods,Neil Gaiman,Fiction,Fantasy,,2019,,635,
O Alquimista,Paolo Coelho,Fiction,Portuguese,Classic,2019,,240,
The Goldfinch,Donna Tart,Fiction,Literary Fiction,,2019,,904,
